target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.041000000000000036,-0.911502731538544,0.01913317144945892,101.7051331833228,38.48202642839364
2,5,0.01,32,0.1,0.03290000000000004,-0.9132144799957832,0.01852261932275112,104.65044143745082,38.95650443151833
2,3,0.1,32,0.1,0.03700000000000003,-0.913269626999906,0.018465807409440593,105.82005616506859,38.6567905533161
2,5,0.1,32,0.1,0.03490000000000004,-0.9168585712541881,0.017296811838609316,109.44696896563772,37.14549884497626
2,3,0.01,64,0.1,0.04349999999999998,-0.9076706474623555,0.020711840219580613,86.44346823991064,38.95594857977584
2,5,0.01,64,0.1,0.04079999999999995,-0.9102743386639456,0.019767154205823312,89.2874555188057,38.72601453149172
2,3,0.1,64,0.1,0.04239999999999999,-0.9101999297422001,0.019696221489307608,90.68680411052564,38.74320096887464
2,5,0.1,64,0.1,0.041200000000000014,-0.9152418465231281,0.01781810149752927,100.39524013088895,38.152997862501266
2,3,0.01,32,1.0,0.05730000000000002,-0.8853437633053874,0.033526849393476055,43.46117104531252,31.828198268455242
2,5,0.01,32,1.0,0.05610000000000004,-0.8960498710457377,0.029006989492408652,49.62942980378873,31.327306237006873
2,3,0.1,32,1.0,0.05820000000000003,-0.8927313310769082,0.029924748337395224,54.521470402626626,33.00305810832169
2,5,0.1,32,1.0,0.0534,-0.9048374070452231,0.025417068411798582,70.3303744509106,36.020045433044494
2,3,0.01,64,1.0,0.06389999999999996,-0.8805681429656024,0.03605516093070271,29.581499966491343,28.882401801773813
2,5,0.01,64,1.0,0.06110000000000004,-0.8891428105203371,0.03249154893046302,42.23666075717385,33.795822999635455
2,3,0.1,64,1.0,0.06299999999999994,-0.8850251908792245,0.034074698721963115,41.415285618284535,31.198393509838855
2,5,0.1,64,1.0,0.054300000000000015,-0.8997677263424962,0.029514674682946662,61.52319305709937,35.796979175634974
2,3,0.01,32,2.0,0.06010000000000004,-0.8881846815863041,0.033699066878317474,37.341685271046565,32.307051743310126
2,5,0.01,32,2.0,0.05679999999999996,-0.8968078409248684,0.030358131036785307,48.63291774452076,30.58755199146953
2,3,0.1,32,2.0,0.05630000000000002,-0.8892288202081748,0.033289015493493834,52.30576955313166,32.29068779656827
2,5,0.1,32,2.0,0.05449999999999999,-0.9024167715013537,0.028667237847667892,66.65538424019459,35.430641209875596
2,3,0.01,64,2.0,0.07010000000000005,-0.8735095128119021,0.04113531953764227,32.94367951161297,32.900585172437665
2,5,0.01,64,2.0,0.058499999999999996,-0.8913948644689114,0.03233375735800914,35.192866227712926,32.074930315220335
2,3,0.1,64,2.0,0.05930000000000002,-0.8832622149141942,0.037791264281966,41.259834110382194,33.244796585665455
2,5,0.1,64,2.0,0.05710000000000004,-0.8958521508295876,0.03348971412231627,54.17553529154137,32.162955108271305
