target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
3,3,0.01,32,0.1,0.05589999999999995,-0.8953232950451984,0.02665782237527281,8.449948228430873,22.562647336472907
3,5,0.01,32,0.1,0.05569999999999997,-0.8983017322460964,0.025625445135071923,8.638602823857486,25.46869938154932
3,3,0.1,32,0.1,0.057699999999999974,-0.8853481172820711,0.03254823180751343,3.2361685688411677,24.002603148172426
3,5,0.1,32,0.1,0.05410000000000004,-0.8938303916771295,0.029874663025315606,6.048346892753536,36.5930993847427
3,3,0.01,64,0.1,0.05689999999999995,-0.8911059925949631,0.028639919369636835,6.804617460302182,22.394520686024357
3,5,0.01,64,0.1,0.05789999999999995,-0.8964350530339726,0.02639338501837929,9.070281192937049,21.614078948440948
3,3,0.1,64,0.1,0.0675,-0.8846559789311991,0.03277345216565408,3.520025447790056,22.31407745764004
3,5,0.1,64,0.1,0.05300000000000005,-0.8955893789466564,0.028620768784429984,8.900585016819187,31.339432512413566
3,3,0.01,32,1.0,0.07340000000000002,-0.8630984572567711,0.04807410546096169,6.997659397624032,23.720099827796638
3,5,0.01,32,1.0,0.058599999999999985,-0.8860038274264039,0.03437616973886459,6.945881089533277,26.905447347506893
3,3,0.1,32,1.0,0.07450000000000001,-0.8582763942841469,0.05122270445095134,5.347432034155811,26.391916545955223
3,5,0.1,32,1.0,0.05700000000000005,-0.8898596498928348,0.03258699577140822,6.156925615983536,33.934052288329454
3,3,0.01,64,1.0,0.0827,-0.8434239731674713,0.06057405309902408,7.955118346037956,25.12263697957909
3,5,0.01,64,1.0,0.061799999999999966,-0.8803687182709147,0.03737489457587684,10.106875597052024,26.456266037972952
3,3,0.1,64,1.0,0.07899999999999996,-0.8503201407729742,0.05713272008502879,2.980279461652882,23.56759468266892
3,5,0.1,64,1.0,0.05730000000000002,-0.8897992040655992,0.03213671304185106,9.733695767907754,33.41706103967985
3,3,0.01,32,2.0,0.07889999999999997,-0.8445454246598969,0.06001164804463388,5.286946964360512,27.615771657748684
3,5,0.01,32,2.0,0.062000000000000055,-0.8784321965180223,0.03900320787057188,10.719196879204002,26.635934284667712
3,3,0.1,32,2.0,0.0826,-0.840804329672884,0.06384683777776545,4.888996224495987,25.726707288031122
3,5,0.1,32,2.0,0.05930000000000002,-0.8848570691670139,0.035325350517902754,7.7379538256936335,33.37938863599204
3,3,0.01,64,2.0,0.1048,-0.7988468399785226,0.10128031832497952,6.795669807755039,22.921956120292496
3,5,0.01,64,2.0,0.06479999999999997,-0.8693708227226727,0.04403115208255948,9.752032253911475,29.712730390861314
3,3,0.1,64,2.0,0.08740000000000003,-0.831613377702737,0.07157391845013328,7.517433282873116,24.4027749875319
3,5,0.1,64,2.0,0.05710000000000004,-0.8874042084466536,0.03323706153669059,12.504557518602587,34.16982166160476
