target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.020000000000000018,-0.9424281713565775,0.03911285219653726,2174.3078278163343,2364.5804381311154
2,5,0.01,32,0.1,0.02180000000000004,-0.9424504315490542,0.03911073540982424,2020.21392590955,2545.6450438515203
2,3,0.1,32,0.1,0.016599999999999948,-0.9424246503761674,0.039103915853909155,1985.9414451960267,2532.4147489845873
2,5,0.1,32,0.1,0.019499999999999962,-0.9424917543089413,0.03908352040316454,2054.302375229863,2363.869419727953
2,3,0.01,64,0.1,0.017199999999999993,-0.9424258437113647,0.03910874558934252,1894.8950838770265,2524.5198367847424
2,5,0.01,64,0.1,0.01770000000000005,-0.9424435769290282,0.039113017370114744,1810.5549036519874,2435.3210279641553
2,3,0.1,64,0.1,0.018299999999999983,-0.942349069914024,0.03910480334010613,1985.4567113801902,2366.742007310817
2,5,0.1,64,0.1,0.01870000000000005,-0.9424633477986202,0.039085055777951405,1974.5153064916328,2531.1396667374484
2,3,0.01,32,1.0,0.01870000000000005,-0.9435469141219841,0.03888207863752746,1815.7160377804041,2214.6642158758514
2,5,0.01,32,1.0,0.017100000000000004,-0.9437639394502267,0.03888990453187813,1858.9591395815544,2244.16984387129
2,3,0.1,32,1.0,0.01959999999999995,-0.9438664610583951,0.03888646867780332,1597.8427387995428,2140.9561632799087
2,5,0.1,32,1.0,0.017800000000000038,-0.944260374591254,0.03882105574275496,1620.0272114591091,2159.7719519357524
2,3,0.01,64,1.0,0.02080000000000004,-0.9421148297631927,0.03929150043775731,1767.0418079411088,2224.1110084062766
2,5,0.01,64,1.0,0.019100000000000006,-0.9425071239530204,0.039216767153714915,1945.5732910838549,2157.2985878057552
2,3,0.1,64,1.0,0.01970000000000005,-0.9423416019453698,0.0392737326239575,2046.8649281124437,2352.0994419908056
2,5,0.1,64,1.0,0.017199999999999993,-0.9440245612910121,0.03905556094744389,1846.4743926853507,2201.2527882038157
2,3,0.01,32,2.0,0.01990000000000003,-0.9435829887733151,0.038985396690352725,1750.2492771031225,1891.3384645066726
2,5,0.01,32,2.0,0.018100000000000005,-0.9441664783585658,0.038924163301494175,1682.9149290366881,1941.5267745148449
2,3,0.1,32,2.0,0.019199999999999995,-0.944330663317533,0.03890346388133936,1669.634090237796,1943.8551954777158
2,5,0.1,32,2.0,0.017100000000000004,-0.9454123690645141,0.03876206027297413,1702.7712314891016,1643.9364211537304
2,3,0.01,64,2.0,0.022299999999999986,-0.939080763475569,0.04001241029790048,1836.6365442388123,1612.3724586504377
2,5,0.01,64,2.0,0.01990000000000003,-0.9399658409440889,0.039831037245418255,1648.339070393524,1565.7946890980002
2,3,0.1,64,2.0,0.021499999999999964,-0.9400520716020794,0.039934319610650526,2028.4128951492687,1330.7195374088788
2,5,0.1,64,2.0,0.01880000000000004,-0.9429535314030008,0.03942162000862659,1618.1479001245818,1456.8458025906384
