target_dim,lmr_edges,alpha,k,lr,ijk,kendall,residual variance,globalh0,globalh1
2,3,0.01,32,0.1,0.0008000000000000229,-0.9966596900309882,2.7438622520525868e-05,349.4780186919451,11.690679795751123
2,5,0.01,32,0.1,0.0009000000000000119,-0.9965836981548751,2.8717674806721938e-05,872.0120671587774,0.0
2,3,0.1,32,0.1,0.0010000000000000009,-0.9949331724194591,5.884312916315526e-05,151.41406749824193,0.0
2,5,0.1,32,0.1,0.0008000000000000229,-0.9954746297189453,4.885715225066978e-05,144.82374203797355,0.0
2,3,0.01,64,0.1,0.0013999999999999568,-0.9965057629596074,2.9001208238343956e-05,404.48643716118755,13.703705472107458
2,5,0.01,64,0.1,0.0010000000000000009,-0.9965309046511718,2.9108557255685952e-05,560.9430020557045,0.02805415811695866
2,3,0.1,64,0.1,0.0014999999999999458,-0.9947664923161254,6.181674980032525e-05,601.7110223314617,4.564728101639105
2,5,0.1,64,0.1,0.0007000000000000339,-0.9954594070522332,4.8769464843001487e-05,492.2509548263093,0.0
2,3,0.01,32,1.0,0.0007000000000000339,-0.9960761679689653,4.1792936071982645e-05,363.4778203367929,0.0
2,5,0.01,32,1.0,0.0008000000000000229,-0.996177382508274,3.9339028025553446e-05,510.3599155401793,0.0
2,3,0.1,32,1.0,0.0017000000000000348,-0.9939516747888739,0.00012046828559908462,625.4588200045421,0.0
2,5,0.1,32,1.0,0.0010999999999999899,-0.9956279090172744,5.241268016431544e-05,493.7158277529025,0.0
2,3,0.01,64,1.0,0.0013999999999999568,-0.995052808004922,6.86006609804668e-05,524.6490288645086,0.0
2,5,0.01,64,1.0,0.0009000000000000119,-0.9954770993537044,5.796314084050014e-05,669.6608232558318,0.0
2,3,0.1,64,1.0,0.0020000000000000018,-0.9932194078398827,0.00013363550678546776,501.1746040948183,0.0
2,5,0.1,64,1.0,0.0010999999999999899,-0.9946804599577129,8.008751765586908e-05,165.53989595569678,0.0
2,3,0.01,32,2.0,0.0009000000000000119,-0.9963204998668567,3.6079318095905144e-05,302.274587735955,0.0
2,5,0.01,32,2.0,0.0008000000000000229,-0.9962975444093414,3.823789026469182e-05,536.7609113819045,0.0
2,3,0.1,32,2.0,0.0009000000000000119,-0.9941444277575336,0.00011156060928396716,398.06827838940404,0.0
2,5,0.1,32,2.0,0.0010999999999999899,-0.9961418359620687,3.8010854791825643e-05,314.72296414290753,0.0
2,3,0.01,64,2.0,0.0016000000000000458,-0.9947874234828544,7.941234446928735e-05,297.1368423827343,0.0
2,5,0.01,64,2.0,0.0008000000000000229,-0.9950710266219975,6.444921773529622e-05,471.89185085137257,0.0
2,3,0.1,64,2.0,0.0011999999999999789,-0.9933464523296233,0.0001280036259156958,692.9746179613562,0.0
2,5,0.1,64,2.0,0.0013999999999999568,-0.9952656419381805,5.36244077913306e-05,246.47965269746317,0.0
